State Name,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Difference,Modal Price (Rs./Quintal),Price Date
Maharashtra,Ahmednagar,Ahmednagar,Apple,Other,FAQ,9000,15000,6000,12000,10-Jul-20
Maharashtra,Ahmednagar,Ahmednagar,Apple,Other,FAQ,6000,10000,4000,8000,27-Jun-20
Maharashtra,Ahmednagar,Ahmednagar,Apple,Other,FAQ,13000,13000,0,13000,18-Jun-20
Maharashtra,Ahmednagar,Ahmednagar,Apple,Other,FAQ,3000,5000,2000,4000,20-May-20
Maharashtra,Ahmednagar,Ahmednagar,Apple,Other,FAQ,4000,6000,2000,5000,18-May-20
Maharashtra,Ahmednagar,Ahmednagar,Apple,Other,FAQ,5000,6000,1000,5500,16-May-20
Maharashtra,Ahmednagar,Ahmednagar,Apple,Other,FAQ,7000,10000,3000,8500,28-Sep-19
Maharashtra,Amarawati,Amarawati,Apple,Other,FAQ,5000,8000,3000,6500,30-Aug-18
Maharashtra,Amarawati,Amarawati,Apple,Other,FAQ,6000,8000,2000,7000,29-Aug-18
Maharashtra,Amarawati,Amarawati,Apple,Other,FAQ,5000,7000,2000,6000,28-Aug-18
Maharashtra,Amarawati,Amarawati,Apple,Other,FAQ,4000,8000,4000,6000,27-Aug-18
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,4000,7000,3000,5500,14-Dec-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,4000,7000,3000,5500,12-Dec-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,4000,7000,3000,5500,10-Dec-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,4000,7000,3000,5500,07-Dec-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,4000,7000,3000,5500,05-Dec-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,4000,7000,3000,5500,02-Dec-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,5000,8000,3000,6500,30-Nov-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,4000,7000,3000,5500,28-Nov-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,4500,7500,3000,6000,25-Nov-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,4000,6000,2000,5000,21-Nov-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,3000,6000,3000,4500,19-Nov-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,4000,6000,2000,5000,18-Nov-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,4000,6000,2000,5000,16-Nov-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,4000,6000,2000,5000,14-Nov-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,4000,6000,2000,5000,12-Nov-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,4000,6000,2000,5000,11-Nov-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,4000,6000,2000,5000,07-Nov-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,4000,6000,2000,5000,05-Nov-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,4000,7000,3000,5500,04-Nov-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,5000,7000,2000,6000,02-Nov-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,4000,6000,2000,5000,31-Oct-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,3000,6000,3000,4500,29-Oct-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,3000,6000,3000,4500,28-Oct-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,2000,4500,2500,3000,14-Oct-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,5000,12000,7000,8500,12-Oct-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,2000,5000,3000,3500,10-Oct-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,2000,4500,2500,3500,08-Oct-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,4000,6000,2000,5000,07-Oct-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,4000,6000,2000,5000,05-Oct-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,2700,5700,3000,4500,03-Oct-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,4000,6000,2000,5000,30-Sep-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,5000,6000,1000,5500,28-Sep-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,5000,6000,1000,5500,26-Sep-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,4600,7000,2400,4800,23-Sep-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,4200,6200,2000,5800,21-Sep-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,4000,6000,2000,5000,19-Sep-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,4000,6000,2000,5000,16-Sep-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,4000,6000,2000,4500,14-Sep-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,4000,6000,2000,5000,12-Sep-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,4000,6000,2000,5000,09-Sep-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,4000,6000,2000,5000,07-Sep-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,4000,6000,2000,5000,05-Sep-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,4500,6500,2000,5000,02-Sep-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,4500,6500,2000,5500,31-Aug-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,4000,8000,4000,6000,24-Aug-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,2500,6000,3500,4225,12-Aug-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,2500,6000,3500,4500,10-Aug-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,2000,6000,4000,4000,03-Aug-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,3500,4500,1000,4000,02-Apr-20
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market),Apple,Simla,FAQ,3500,4500,1000,4000,01-Apr-20
